Year,Rainfall,Annual R-Factor
1970,1865.0,2238.8
1971,895.7,1075.6399999999999
1972,1119.2,1343.84
1973,1756.8999999999999,2109.08
1974,1519.3,1823.9599999999998
1975,1622.8999999999999,1948.2799999999997
1976,1290.5,1549.3999999999999
1977,1083.8000000000002,1301.3600000000001
1978,1733.3000000000002,2080.76
1979,1379.5,1656.1999999999998
1980,1798.5000000000002,2159.0000000000005
1981,1329.1,1595.7199999999998
1982,1664.7000000000003,1998.4400000000003
1983,1252.6000000000001,1503.92
